,기준년월,그룹번호,그룹내고객수,종목번호,그룹내_매수여부,그룹내_매도여부,매수고객수,매도고객수,평균매수수량,평균매도수량,매수가격_중앙값,매도가격_중앙값
0,201907,MAD01,288,A000660,Y,Y,7,17,19,234,74800,78500
1,201907,MAD01,288,A001820,Y,Y,3,4,533,154,47385,46700
2,201907,MAD01,288,A004020,Y,Y,3,3,409,528,41411,40000
3,201907,MAD01,288,A005380,Y,Y,4,3,323,451,140602,140628
4,201907,MAD01,288,A005930,Y,Y,13,19,34,101,45350,46850
5,201907,MAD01,288,A005935,Y,Y,5,6,49,204,37750,38878
6,201907,MAD01,288,A006400,Y,Y,6,5,118,421,225544,234500
7,201907,MAD01,288,A008770,Y,N,4,0,32,0,81890,-1
8,201907,MAD01,288,A009150,Y,Y,14,10,76,83,94211,94900
9,201907,MAD01,288,A034220,Y,Y,3,3,2609,1810,16750,16550
10,201907,MAD01,288,A066570,Y,Y,15,9,60,223,69900,76600
11,201907,MAD01,288,A128940,Y,Y,3,3,36,39,302753,297156
12,201907,MAD02,112,A006800,Y,Y,3,3,1280,6639,7760,7895
13,201907,MAD02,112,A035420,N,Y,0,3,0,55,-1,140719
14,201907,MAD02,112,A042670,Y,Y,4,4,872,2340,5900,6025
15,201907,MAD03,250,A002140,Y,Y,3,3,1286,1286,3800,3895
16,201907,MAD03,250,A005290,Y,Y,6,5,499,432,15300,14150
17,201907,MAD03,250,A005360,Y,Y,9,6,3001,2606,5105,5190
18,201907,MAD03,250,A005390,Y,Y,3,3,5564,4800,1352,1363
19,201907,MAD03,250,A008350,N,Y,0,4,0,1100,-1,3305
20,201907,MAD03,250,A013310,Y,Y,4,4,340,340,3295,3200
21,201907,MAD03,250,A014990,Y,Y,3,3,841,841,3220,3265
22,201907,MAD03,250,A023770,Y,Y,3,3,137,157,47274,45956
23,201907,MAD03,250,A025560,Y,Y,4,4,61071,26750,189,184
24,201907,MAD03,250,A028300,Y,Y,9,10,180,419,39175,29208
25,201907,MAD03,250,A036830,Y,Y,3,3,117,57,72050,82000
26,201907,MAD03,250,A048410,Y,Y,4,8,587,709,17550,17550
27,201907,MAD03,250,A052420,Y,Y,3,3,5945,7048,2088,2020
28,201907,MAD03,250,A054940,Y,Y,3,4,1241,1425,1807,1844
29,201907,MAD03,250,A057500,Y,Y,3,3,61,61,4435,4265
30,201907,MAD03,250,A061970,Y,Y,4,5,2380,2334,11500,11400
31,201907,MAD03,250,A067630,Y,Y,5,4,884,864,7180,7220
32,201907,MAD03,250,A078130,Y,Y,8,9,10931,11976,4310,4370
33,201907,MAD03,250,A093230,Y,Y,5,6,2977,2834,424,449
34,201907,MAD03,250,A093370,Y,Y,7,7,3492,3487,9133,9200
35,201907,MAD03,250,A096610,Y,Y,3,3,396,396,8100,8120
36,201907,MAD03,250,A102940,Y,Y,3,3,279,317,23499,23885
37,201907,MAD03,250,A179290,Y,Y,3,3,784,518,5197,5660
38,201907,MAD03,250,A195440,Y,Y,3,3,16174,10021,391,502
39,201907,MAD03,250,A207760,Y,Y,4,4,536,778,7490,6810
